iter,wins,losses,draws,y,elapsed_sec,theta_RazorBase,theta_RazorDepth,theta_RfpBase,theta_RfpImproving,theta_NmpBase,theta_NmpEvalDiv,theta_FpBase,theta_FpDepth,theta_SeeCaptureCoef,theta_SeeQuietCoef,theta_LmrBase,theta_LmrDivisor,theta_TempoMg,theta_ThreatByPawnMg,theta_ThreatByPawnEg,theta_HangingMg,theta_HangingEg,theta_SafePawnPushMg,theta_SafePawnPushEg,theta_RookOn7thBonusEg
51,4,5,3,-0.0833,72.19,283,269,283,132,3,494,232,212,40,120,69,214,25,140,111,22,0,84,30,41
52,7,2,3,0.4167,72.19,287,273,287,135,3,488,228,216,39,123,68,217,23,144,107,19,0,81,27,44
53,5,0,7,0.4167,69.15,283,269,291,138,3,494,232,220,40,120,69,220,21,148,111,16,0,84,30,41
54,5,4,3,0.0833,64.15,284,268,290,137,3,493,231,221,40,119,69,219,21,147,112,15,0,85,29,42
55,2,3,7,-0.0833,81.23,285,269,289,138,3,492,232,222,40,120,69,220,21,148,113,14,0,84,30,41
56,5,3,4,0.1667,69.18,286,268,290,139,3,490,233,223,41,121,68,221,22,147,112,13,0,83,31,40
57,3,5,4,-0.1667,76.31,285,269,291,138,3,492,232,224,40,122,69,222,23,146,111,14,0,84,30,41
58,5,0,7,0.4167,84.63,288,266,288,141,3,498,235,221,39,125,68,225,21,149,108,17,3,81,27,38
59,4,5,3,-0.0833,74.53,289,265,289,142,3,497,234,220,39,124,68,224,21,150,109,18,2,80,28,39
60,4,6,2,-0.1667,69.51,288,266,290,143,3,495,235,221,40,125,67,223,22,151,110,19,1,79,29,40
61,4,2,6,0.1667,82.57,289,267,291,144,3,497,234,222,39,124,66,224,23,152,109,20,2,80,28,41
62,5,2,5,0.2500,77.57,291,269,289,146,3,500,232,220,38,126,65,226,22,154,111,22,4,82,26,43
63,4,6,2,-0.1667,80.51,290,268,288,147,3,498,233,219,37,125,66,225,23,155,110,21,5,83,27,44
64,5,2,5,0.2500,71.49,288,266,290,149,3,501,231,221,36,127,65,223,24,153,112,23,7,85,25,42
65,2,4,6,-0.1667,102.86,289,265,289,148,3,499,232,220,37,126,66,224,23,152,111,24,6,86,24,41
66,5,2,5,0.2500,72.44,287,267,287,146,3,502,230,222,36,124,65,226,22,154,109,26,8,88,26,39
67,1,3,8,-0.1667,85.62,288,268,286,145,3,504,231,221,35,123,66,225,21,155,110,25,7,89,25,38
68,5,2,5,0.2500,68.59,286,266,284,147,3,507,233,223,34,121,67,223,20,157,112,23,5,87,27,36
69,4,6,2,-0.1667,78.23,285,267,285,148,3,505,234,222,35,122,66,222,21,158,111,22,4,88,26,37
70,5,4,3,0.0833,76.21,286,268,284,149,3,504,233,223,35,121,66,223,21,157,110,23,3,89,25,38
71,5,2,5,0.2500,72.16,284,270,286,151,3,507,231,225,34,119,65,221,22,159,108,21,5,87,27,40
72,4,4,4,0.0000,77.29,284,270,286,151,3,507,231,225,34,119,65,221,22,159,108,21,5,87,27,40
73,3,4,5,-0.0833,90.26,285,269,287,152,3,506,232,226,34,118,65,220,22,160,107,22,4,86,28,41
74,4,4,4,0.0000,94.27,285,269,287,152,3,506,232,226,34,118,65,220,22,160,107,22,4,86,28,41
75,8,3,1,0.4167,75.17,288,266,290,155,3,501,235,223,35,121,66,217,24,157,110,19,7,83,25,38
76,6,5,1,0.0833,78.20,289,267,291,156,3,500,234,224,35,122,66,218,24,156,109,18,6,82,24,39
77,3,4,5,-0.0833,77.25,290,268,292,157,3,499,235,223,35,121,66,217,24,157,110,17,5,83,23,38
78,4,4,4,0.0000,68.12,290,268,292,157,3,499,235,223,35,121,66,217,24,157,110,17,5,83,23,38
79,4,6,2,-0.1667,84.24,289,269,291,156,3,497,236,224,36,122,67,218,23,156,111,18,6,84,24,37
80,2,3,7,-0.0833,100.31,290,270,292,155,3,496,235,225,36,123,67,219,23,155,112,17,5,85,25,38
81,6,4,2,0.1667,70.21,289,271,291,154,3,498,234,224,36,124,67,218,22,154,111,18,4,86,24,37
82,1,8,3,-0.5833,79.54,285,275,295,151,3,491,238,228,34,121,69,215,19,150,107,15,1,89,21,34
83,2,5,5,-0.2500,93.67,283,273,297,152,3,488,236,230,35,120,68,214,18,152,105,14,2,88,20,33
84,5,5,2,0.0000,69.50,283,273,297,152,3,488,236,230,35,120,68,214,18,152,105,14,2,88,20,33
85,2,4,6,-0.1667,70.53,282,274,298,153,3,490,235,231,35,119,68,213,19,151,106,13,1,87,21,32
86,6,3,3,0.2500,82.59,284,276,300,154,3,493,237,233,34,118,67,214,20,149,108,14,0,88,20,33
87,3,4,5,-0.0833,70.53,283,275,299,154,3,492,236,232,34,118,67,214,20,150,109,14,0,88,20,33
88,6,2,4,0.3333,82.64,281,277,301,152,3,496,234,230,35,120,66,216,21,152,111,12,0,90,22,35
89,5,2,5,0.2500,74.52,279,279,303,153,3,493,232,228,34,119,65,217,20,154,109,13,0,91,23,36
90,2,5,5,-0.2500,77.53,277,277,301,152,3,496,234,230,33,120,64,216,21,156,111,14,0,90,22,35
91,5,2,5,0.2500,88.62,275,279,303,153,3,493,232,228,34,121,63,217,22,154,113,13,0,91,21,34
92,6,1,5,0.4167,78.61,278,276,306,155,3,488,235,225,35,123,62,219,24,151,110,11,0,89,23,36
93,6,5,1,0.0833,77.56,279,275,305,155,3,489,236,224,35,123,62,219,24,152,111,11,0,89,23,36
94,3,5,4,-0.1667,80.65,280,276,306,154,3,487,237,225,35,124,62,218,23,153,110,10,0,90,24,37
95,3,5,4,-0.1667,86.69,281,277,305,155,3,489,236,224,35,123,62,217,22,152,109,11,1,91,23,38
96,2,4,6,-0.1667,82.66,280,278,304,156,3,491,237,223,35,122,62,216,21,153,110,12,0,92,22,39
97,6,2,4,0.3333,80.63,282,280,302,158,3,495,235,221,34,120,61,218,22,155,108,10,2,90,24,41
98,4,6,2,-0.1667,67.53,281,281,301,159,3,497,234,220,34,121,61,219,21,156,107,11,3,89,23,40
99,4,3,5,0.0833,85.65,282,282,300,159,3,496,235,219,34,121,61,219,21,157,108,11,3,89,23,40
100,5,3,4,0.1667,88.70,281,283,301,160,3,494,234,220,34,120,61,218,20,158,107,12,4,90,22,41
101,3,2,7,0.0833,78.57,280,282,300,160,3,493,235,221,34,120,61,218,20,159,106,12,4,90,22,41
102,6,2,4,0.3333,84.21,282,284,298,158,3,489,233,223,35,118,62,216,21,161,104,14,6,92,20,39
103,5,3,4,0.1667,92.24,281,285,299,157,3,487,232,222,35,119,62,217,20,162,103,15,7,93,19,38
104,6,4,2,0.1667,72.23,280,286,298,158,3,485,233,221,35,120,62,218,19,163,102,14,8,94,20,39
